id	职业(profession)	等级(level）	名字(name)	技能(skills)	怪物头像路径	怪物类型
1	2001	1	试炼假人	0	monster/10003.png	0
2	2001	2	草原狼	0	monster/10029.png	0
3	2001	3	沼泽水猴	0	monster/10012.png	0
4	2001	4	试炼假人	0	monster/10012.png	0
5	2001	2	古堡侍女	0	monster/10002.png	0
6	2001	3	古堡护卫	0	monster/10003.png	0
7	2001	4	古堡管家	0	monster/10004.png	0
8	2001	3	森林巨蛾	0	monster/10005.png	0
9	2001	4	日光法师	0	monster/10006.png	0
10	2001	5	日光盗贼	0	monster/10007.png	0
11	2001	6	日光监工	0	monster/10008.png	0
12	2001	5	变异鱼人	0	monster/10009.png	0
13	2001	6	软浆怪	0	monster/10010.png	0
14	2001	7	暮光湖船夫	0	monster/10011.png	0
15	2001	8	遗迹看守	0	monster/10012.png	0
16	2001	7	狼之鬼灵	0	monster/10013.png	0
17	2001	8	怨骨掠夺者	0	monster/10014.png	0
18	2001	9	狂躁恶鬼	0	monster/10015.png	0
19	2001	10	鬼怪仆从	0	monster/10016.png	0
20	2001	9	南风猎犬	0	monster/10017.png	0
21	2001	10	南风守卫	0	monster/10018.png	0
22	2001	11	南风监工	0	monster/10019.png	0
23	2001	12	古堡总管	0	monster/10020.png	0
24	2001	11	残忍的暴徒	0	monster/10021.png	0
25	2001	12	狡猾的盗贼	0	monster/10022.png	0
26	2001	13	圣光祈愿者	0	monster/10023.png	0
27	2001	14	圣光护教	0	monster/10024.png	0
28	2001	13	巨型白鼠	0	monster/10025.png	0
29	2001	14	地窖蝙蝠	0	monster/10026.png	0
30	2001	15	地窖酒鬼	0	monster/10027.png	0
31	2001	16	酿酒师	0	monster/10028.png	0
32	2001	15	钢铁建筑工	0	monster/10029.png	0
33	2001	16	钢铁守卫	0	monster/10030.png	0
34	2001	17	钢铁机械师	0	monster/10031.png	0
35	2001	18	钢铁监工	0	monster/10032.png	0
36	2001	17	红龙幼崽	0	monster/10033.png	0
37	2001	18	红龙守卫	0	monster/10034.png	0
38	2001	19	红龙战士	0	monster/10035.png	0
39	2001	20	红龙破法者	0	monster/10036.png	0
40	2001	19	蓝龙守卫	0	monster/10037.png	0
41	2001	20	蓝龙破法者	0	monster/10038.png	0
42	2001	21	白龙占卜师	0	monster/10039.png	0
43	2001	22	白龙祭祀	0	monster/10040.png	0
44	2001	21	熔炉搬运工	0	monster/10041.png	0
45	2001	22	熔炉锻造者	0	monster/10042.png	0
46	2001	23	熔炉守卫	0	monster/10043.png	0
47	2001	24	熔炉监工	0	monster/10044.png	0
48	2001	23	夜行僵尸	0	monster/10045.png	0
49	2001	24	绝望幽灵	0	monster/10046.png	0
50	2001	25	绝望药剂师	0	monster/10047.png	0
51	2001	26	绝望研究员	0	monster/10048.png	0
52	2001	25	溶洞长虫	0	monster/10049.png	0
53	2001	26	溶洞泥浆怪	0	monster/10050.png	0
54	2001	27	艾达泥偶	0	monster/10051.png	0
55	2001	28	石岩卫士	0	monster/10052.png	0
56	2001	27	城墙巡视者	0	monster/10053.png	0
57	2001	28	城墙守卫	0	monster/10054.png	0
58	2001	29	城墙更夫	0	monster/10055.png	0
59	2001	30	城墙报信者	0	monster/10056.png	0
60	2001	29	城墙守卫	0	monster/10057.png	0
61	2001	30	城墙弓箭手	0	monster/10058.png	0
62	2001	31	城墙巡视者	0	monster/10059.png	0
63	2001	32	城墙火炬手	0	monster/10060.png	0
64	2001	31	凛风守卫	0	monster/10061.png	0
65	2001	32	凛风侍女	0	monster/10062.png	0
66	2001	33	凛风近卫	0	monster/10063.png	0
67	2001	34	凛风军长	0	monster/10064.png	0
68	2001	33	骷髅护卫	0	monster/10065.png	0
69	2001	34	鲜肉食尸鬼	0	monster/10066.png	0
70	2001	35	嚎叫女妖	0	monster/10067.png	0
71	2001	36	邪恶召唤者	0	monster/10068.png	0
72	2001	35	变异巨鳄	0	monster/10069.png	0
73	2001	36	密林猛虎	0	monster/10070.png	0
74	2001	37	密林研究员	0	monster/10071.png	0
75	2001	38	密林药剂师	0	monster/10072.png	0
76	2001	37	圣坛祈愿者	0	monster/10073.png	0
77	2001	38	圣坛信徒	0	monster/10074.png	0
78	2001	39	圣坛守卫	0	monster/10075.png	0
